type,icon
BCS1,BCS1
BCS3,BCS1
E170,BCS1
E175,BCS1
E75L,BCS1
E75S,BCS1
E190,BCS1
E195,BCS1
E290,BCS1
E295,BCS1
SU95,BCS1
A318,A320
A319,A320
A320,A320
A321,A320
A19N,A320
A20N,A320
A21N,A320
A3ST,A337
A337,A337
A342,A345
A343,A345
A345,A345
A346,A345
A306,A359
A30B,A359
A332,A359
A333,A359
A338,A359
A339,A359
A359,A359
B762,A359
B763,A359
B764,A359
B772,A359
B77L,A359
B788,A359
B789,A359
B78X,A359
A388,A388
AT43,AT72
AT45,AT72
AT46,AT72
AT72,AT72
AT73,AT72
AT75,AT72
AT76,AT72
DH8A,AT72
DH8B,AT72
DH8C,AT72
DH8D,AT72
B37M,B737
B38M,B737
B39M,B737
B3XM,B737
B732,B737
B733,B737
B734,B737
B735,B737
B736,B737
B737,B737
B738,B737
B739,B737
B752,B753
B753,B753
B741,B744
B742,B744
B743,B744
B744,B744
B748,B744
B74R,B744
B74S,B744
BLCF,B744
A35K,B773
B773,B773
B778,B773
B779,B773
B77W,B773
C172,DA40
C208,DA40
C72R,DA40
DA40,DA40
CTSW,DA40
P92,DA40
DA20,DA40
EV97,DA40
C42,DA40
FK9,DA40
J230,DA40
VL3,DA40
EURO,DA40
SKYR,DA40
C150,DA40
C152,DA40
C182,DA40
C206,DA40
C210,DA40
P208,DA40
PA28,DA40
P28A,DA40
PA18,DA40
PA22,DA40
PA32,DA40
PA46,DA40
PC12,DA40
PC6T,DA40
BE35,DA40
BE36,DA40
DV20,DA40
SR20,DA40
SR22,DA40
S22T,DA40
M20P,DA40
C82T,DA40
RV12,DA40
SLG2,DA40
AP32,DA40
G115,DA40
TEX2,DA40
TOUR,DA40
RV6,DA40
