prefix,country
2-,GG
3A-M,MC
3B-,MU
3C-,GQ
3DC-,SZ
3X-,GN
4K-,AZ
4L-,GE
4O-,ME
4R-,LK
4X-,IL
5A-,LY
5B-D,CY
5H-,TZ
5N-,NG
5R-,MG
5T-,MR
5U-,NE
5V-,TG
5W-,WS
5X-,UG
5Y-,KE
6V-,SN
6W-,SN
7O-,YE
7Q-,MW
7T-,DZ
8P-,BB
8Q-,MV
8R-,GY
9A-,HR
9G-,GH
9H-,MT
9J-,ZM
9K-,KW
9M-,MY
9N-,NP
9S-,CD
9U-,BI
9V-,SG
9XR-,RW
9Y-,TT
A2-,BW
A3-,TO
A4O-,OM
A5-,BT
A6-,AE
A7-,QA
A9C-,BH
AP-,PK
B-,CN
B-H,HK
B-K,HK
B-L,HK
B-M,MO
C-,CA
C5-,GM
C6-,BS
C9-,MZ
CC-,CL
CN-,MA
CP-,BO
CS-,PT
CU-,CU
CX-,UY
D-,DE
D2-,AO
D4-,CV
D6-,KM
DQ-,FJ
DU-,AE
E3-,ER
E4,PS
E5-,CK
E7-,BA
EC-,ES
EI-,IE
EJ-,IE
EK-,AM
EM-,ES
EP-,IR
ER-,MD
ES-,EE
ET-,ET
EW-,BY
EX-,KG
EY-,TJ
EZ-,TM
F-,FR
G-,GB
H4-,SB
HA-,HU
HB-,CH
HC-,EC
HH-,HT
HI-,DM
HJ-,CO
HK-,CO
HL,KR
HP-,PA
HR-,HN
HS-,TH
HZ-,SA
I-,IT
J2-,DJ
J8-,VC
JA,JP
JU-,MN
JY-,JO
LN-,NO
LQ-,AR
LV-,AR
LX-,LU
LY-,LT
LZ-,BG
M-,IM
N,US
OB-,PE
OD-,LB
OE-,AT
OH-,FI
OK-,CZ
OM-,SK
OO-,BE
OY-,DK
P-,KP
P2-,PG
P4-,AW
PH-,NL
PJ-,NL
PK-,ID
PP-,BR
PR-,BR
PS-,BR
PT-,BR
PU-,BR
PZ-,SR
RA-,RU
RDPL-,LA
RF-,RU
RP-,PH
S2-,BD
S5-,SI
S7-,SC
SE-,SE
SN-,PL
SP-,PL
ST-,SD
SU-,EG
SU-Y,PS
SX-,GR
T7-,SM
TC-,TR
TF-,IS
TG-,GT
TI-,CR
TJ-,CM
TL-,CF
TN-,CG
TR-,GA
TS-,TN
TT-,TD
TU-,CI
TY-,BJ
TZ-,ML
UK-,UZ
UP-,KZ
UR-,UA
V2-,AG
V3-,BZ
V5-,NA
V6,FM
V8-,BN
VH-,AU
VN-,VN
VP-A,AI
VP-B,BM
VP-C,KY
VP-F,FK
VP-L,VG
VP-M,MS
VQ-B,BM
VQ-T,TC
VT-,IN
XA-,MX
XB-,MX
XC-,MX
XT-,BF
XU-,KH
XY-,MM
XZ,MM
YA-,AF
YI-,IQ
YJ-,VU
YK-,SY
YL-,LV
YN-,NI
YR-,RO
YS-,SV
YU-,RS
YV,VE
Z-,ZW
Z3-,MK
ZA-,AL
ZJ-,JE
ZK-,NZ
ZM-,NZ
ZP-,PY
ZS-,ZA
ZT-,ZA
ZU-,ZA
